STN_code,Monitoring_Location,Year,Water_Body_Type,State_Name,WQI_applicable,DO_assumed_mean,pH_mean,BOD_mean,Conductivity_mean,NitrateN_mean,FC_mean,TC_mean,WQI_score,WQI_category,WQI_reason,Conductivity_minmax_anomaly,FC_minmax_anomaly,DO_assumed_Min_imputed_flag,DO_assumed_Max_imputed_flag,pH_Min_imputed_flag,pH_Max_imputed_flag,BOD_Min_imputed_flag,BOD_Max_imputed_flag,Conductivity_Min_imputed_flag,Conductivity_Max_imputed_flag,NitrateN_Min_imputed_flag,NitrateN_Max_imputed_flag,FC_Min_imputed_flag,FC_Max_imputed_flag,TC_Min_imputed_flag,TC_Max_imputed_flag
4085,"RIVER JUMAR AT BIT MESRA, RANCHI",2022,RIVER,JHARKHAND,1,4.25,6.55,2.45,474.5,1.1675,74.75,121.0,61.3363,Poor,computed,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2396,RIVER JUMAR AT KANKE DAM,2022,RIVER,JHARKHAND,1,6.55,7.55,2.55,474.5,1.1675,74.75,121.0,70.7045,Poor,computed,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2401,RIVER AJAY AT MASANJORE DAM,2022,RIVER,JHARKHAND,1,6.2,7.65,1.45,206.0,1.1675,74.75,121.0,54.4318,Poor,computed,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
3554,"RIVER KONAR NEAR SWANG COAL WASHERY, BOKARO",2022,RIVER,JHARKHAND,1,7.6,7.45,2.25,474.5,1.1675,74.75,121.0,64.9953,Poor,computed,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2390,RIVER KONAR AT TENUGHAT DAM,2022,RIVER,JHARKHAND,1,7.7,7.6,1.65,474.5,1.1675,74.75,121.0,57.3829,Poor,computed,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4000,RIVER GARGA NEAR TELMUCHO BRIDGE,2022,RIVER,JHARKHAND,1,7.0,7.35,2.9,474.5,1.1675,74.75,121.0,73.9217,Poor,computed,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2381,RIVER BOKARO AT ZARANGDIH BRIDGE,2022,RIVER,JHARKHAND,1,7.7,7.3,2.2,474.5,1.1675,74.75,121.0,62.5937,Poor,computed,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1034,"RIVER SANKH AT BOLBA, JHARKHAND",2022,RIVER,JHARKHAND,1,8.15,7.4,1.45,474.5,1.1675,74.75,121.0,52.1267,Poor,computed,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
2392,RIVER BARAKAR AT MAITHAN DAM,2022,RIVER,JHARKHAND,1,7.55,7.5,1.8,474.5,1.1675,74.75,121.0,58.6063,Poor,computed,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
3555,"RIVER DAMODAR NEAR ZARANGDIH BRIDGE, BOKARO",2022,RIVER,JHARKHAND,1,8.1,7.5,2.25,474.5,1.1675,74.75,121.0,65.539,Poor,computed,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
